fr_sum,serial_num,vp_exp_dummy,num_comp_exp,product_num,num_news,inv_num,cs_dummy,biz_dummy,master_dummy,age
88750000,2,0,8,2,23,0,1,0,0,25
9000000,2,0,4,17,29,0,0,0,0,25
2385000000,3,1,3,18,2998,2,0,0,0,30
2423200000,2,0,2,18,3016,8,0,0,0,30
0,1,1,6,0,3,4,1,1,0,25
2388500000,2,1,6,18,2997,5,0,0,0,31
20686432,1,0,3,0,9,1,1,0,0,25
8750000,1,0,3,0,6,0,0,0,0,25
41000000,1,1,12,1,38,3,0,1,0,25
0,3,1,13,2,10,0,0,0,0,25
158500000,2,1,9,1,134,29,0,1,0,25
78029000,2,1,6,2,25,2,1,0,0,25
197000000,2,1,7,3,190,1,1,0,0,25
0,2,0,3,1,6,0,0,0,0,44
0,4,1,12,1,21,0,0,0,0,25
1187166511,5,1,7,5,2274,8,0,0,0,25
1575950000,3,1,10,0,169,12,1,0,1,25
1750666511,2,1,8,9,2439,13,0,0,0,38
1187166511,5,1,12,5,2273,3,0,0,0,25
25762000,1,1,3,0,71,0,0,0,0,25
25762000,1,0,1,0,71,2,0,0,0,25
32762000,2,0,2,0,83,8,0,0,0,25
41000000,2,1,4,1,38,0,0,0,0,25
88598258,9,1,13,1,12,5,0,0,0,25
0,1,0,3,6,1,0,0,0,0,25
8700000,5,1,6,4,321,2,1,0,0,25
19300000,1,1,4,0,2,1,0,0,0,25
0,1,1,5,0,12,4,0,1,0,25
8000000,1,1,4,0,0,0,1,0,1,25
0,1,0,3,0,2,0,0,0,0,25
55500000,4,1,6,0,51,14,0,0,0,25
23300000,3,1,10,0,42,5,1,0,1,25
500000,1,0,1,0,0,0,0,0,0,25
22000000,2,0,2,4,29,0,0,0,0,25
21300000,4,1,15,1,51,28,0,0,0,44
23350000,1,0,3,2,29,0,1,0,1,25
23350000,1,0,1,2,29,0,0,0,0,25
69750000,1,0,5,2,41,0,1,0,1,25
6000000,1,1,13,0,0,3,0,0,0,25
0,1,1,23,0,33,0,0,0,0,25
30632151,5,1,11,3,41,0,1,0,0,25
88651133,2,0,8,1,16,0,0,0,0,25
56990000,3,0,5,10,14,0,1,0,0,25
800000,2,0,3,0,3,0,0,1,0,25
55000000,1,0,2,1,11,0,0,0,0,25
119000000,3,1,5,0,108,1,0,0,0,42
3900000,2,1,26,0,3,6,1,0,0,25
0,2,1,9,0,13,0,1,0,1,25
4700000,1,0,1,1,12,0,0,0,0,25
4700000,1,1,3,1,12,0,0,0,0,25
162400000,4,1,9,1,30,0,1,0,1,25
0,1,0,2,0,0,0,0,0,0,25
11500000,2,1,4,3,600,0,0,0,0,37
11500000,2,1,5,3,600,10,1,0,0,36
14699973,1,0,1,4,53,0,0,0,0,25
46350000,5,1,7,0,112,8,0,0,0,25
35050000,2,0,4,0,18,3,1,0,0,25
8000000,2,0,4,0,86,1,0,0,0,25
60310000,1,0,2,2,119,0,1,1,0,25
60310000,1,0,1,2,119,2,0,0,0,25
1500000,2,0,7,0,4,0,0,1,0,25
0,2,0,6,0,0,0,0,0,0,25
22000000,3,0,10,1,95,0,0,1,0,25
4000000,1,0,3,1,31,1,0,0,0,25
10250000,1,1,3,1,362,9,0,0,1,25
10250000,1,0,2,1,362,3,1,0,0,25
10250000,1,0,1,1,362,3,0,0,0,43
0,1,0,1,1,1,0,0,0,0,25
15000000,3,1,6,2,15,1,0,0,0,46
0,1,0,4,0,5,0,0,0,0,25
386760000,5,0,8,1,23,2,0,0,0,25
52500000,1,0,1,1,10,0,0,0,0,25
0,2,0,5,0,32,0,1,0,0,25
1700000,3,1,8,3,40,1,0,0,0,25
9000000,1,0,1,17,27,0,0,0,0,25
9000000,1,0,4,17,27,1,0,0,0,25
0,2,1,6,1,2,0,0,0,0,46
0,3,1,16,0,2,0,1,0,0,25
12000000,2,0,2,23,2,0,0,0,0,25
0,1,0,1,1,2,0,0,0,0,25
12000000,1,1,2,22,0,0,0,0,0,25
0,1,0,8,0,0,0,0,0,0,25
0,1,1,9,1,19,11,0,0,0,25
0,1,0,2,1,19,3,0,0,0,25
46000000,2,0,3,3,29,4,0,0,0,25
46000000,2,0,3,3,29,0,0,0,0,25
46000000,2,0,3,3,29,0,0,1,0,25
46000000,2,0,3,3,29,0,0,0,0,25
46000000,2,0,4,3,29,0,0,0,0,25
247505032,5,1,11,6,408,1,1,1,1,48
247505032,4,0,5,7,382,3,0,0,0,38
0,1,0,11,0,0,0,0,0,0,25
6000000,5,0,7,1,34,1,0,0,0,47
30000000,1,0,1,2,25,0,0,0,0,25
30000000,1,0,1,2,25,0,0,0,0,25
12500000,2,0,7,2,2,0,1,0,0,25
12500000,1,0,2,2,2,0,0,0,0,37
6700000,1,0,2,1,17,0,0,0,0,25
6700000,1,1,5,1,17,0,0,1,0,25
3900000,1,0,2,0,25,0,0,0,0,25
168899155,3,1,8,5,4,0,0,0,0,25
0,1,0,6,0,0,0,0,1,0,25
18000000,1,0,1,2,6,0,0,0,0,25
18000000,1,0,2,2,6,0,0,0,0,47
3500000,1,0,3,1,12,0,1,0,1,25
3500000,2,0,4,1,12,0,0,0,0,25
43000000,3,1,19,0,8,12,0,0,0,25
0,1,0,4,0,0,0,0,1,0,25
